SalePrice,Garage Cars,Gr Liv Area,Overall Qual,Year Built,Lot Area
215000,2.0,1656,6,1960,31770
105000,1.0,896,5,1961,11622
172000,1.0,1329,6,1958,14267
244000,2.0,2110,7,1968,11160
189900,2.0,1629,5,1997,13830
195500,2.0,1604,6,1998,9978
213500,2.0,1338,8,2001,4920
191500,2.0,1280,8,1992,5005
236500,2.0,1616,8,1995,5389
189000,2.0,1804,7,1999,7500
175900,2.0,1655,6,1993,10000
185000,2.0,1187,6,1992,7980
180400,2.0,1465,6,1998,8402
171500,2.0,1341,7,1990,10176
212000,2.0,1502,8,1985,6820
538000,3.0,3279,8,2003,53504
164000,2.0,1752,8,1988,12134
394432,3.0,1856,9,2010,11394
141000,2.0,864,4,1951,19138
210000,2.0,2073,6,1978,13175
190000,2.0,1844,6,1977,11751
170000,2.0,1173,7,1974,10625
216000,2.0,1674,7,2000,7500
149000,2.0,1004,6,1970,11241
149900,2.0,1078,5,1971,12537
142000,1.0,1056,5,1968,8450
126000,2.0,882,4,1970,8400
115000,0.0,864,4,1971,10500
184000,2.0,1337,7,1999,5858
96000,1.0,987,6,1971,1680
105500,1.0,1092,5,1971,1680
88000,1.0,1092,6,1971,1680
127500,2.0,1069,6,1977,4043
149900,2.0,1456,6,1975,2280
120000,1.0,836,7,1975,2280
146000,2.0,1456,6,1978,2280
376162,3.0,2334,9,2009,12858
306000,3.0,1704,8,2007,11478
395192,3.0,1940,9,2009,10159
290941,3.0,1544,8,2009,12883
220000,2.0,1541,7,2005,12182
275000,3.0,1698,9,2005,11520
259000,3.0,1822,8,2005,14122
214000,2.0,1535,7,2004,10171
611657,3.0,2364,9,2009,12919
224000,2.0,1358,7,2009,6371
500000,3.0,2696,9,2003,14300
320000,3.0,2250,8,2002,13650
319900,2.0,1752,9,2005,7658
205000,2.0,1370,8,2006,7132
175500,2.0,1626,7,2003,2628
199500,2.0,1324,6,2005,18494
160000,2.0,1145,7,2006,3203
192000,2.0,1269,8,2004,3182
184500,2.0,1374,7,2004,13300
216500,2.0,1960,6,2002,7851
185088,2.0,1733,7,2004,8577
180000,2.0,1430,7,2000,7750
222500,2.0,2035,7,2001,9505
333168,3.0,2599,9,1999,14774
355000,3.0,2475,8,1998,17433
260400,2.0,1720,7,1996,10593
325000,2.0,2622,8,1994,12256
290000,3.0,2270,8,1999,11764
221000,2.0,1839,7,1998,16770
410000,3.0,3238,8,1995,14720
221500,3.0,1595,8,2005,8987
204500,2.0,1218,7,2009,9215
215200,2.0,1547,7,2009,8640
262500,2.0,1566,8,2008,9000
254900,2.0,1947,7,2004,12552
271500,2.0,1468,6,2005,10440
233000,2.0,2084,7,2004,10142
181000,2.0,1659,7,2004,11920
205000,2.0,2110,7,1994,8880
143000,1.0,923,6,1980,8012
189000,2.0,1845,6,1992,11218
99500,1.0,918,6,1979,7892
125000,1.0,752,6,1984,7175
194500,2.0,1744,7,1993,9453
152000,2.0,1097,6,1984,9672
171000,2.0,1564,6,1980,8400
67500,1.0,1012,5,1920,9800
112000,2.0,1902,6,1978,8930
148000,2.0,1155,5,1961,11782
138500,1.0,894,5,1965,8450
122000,1.0,900,5,1967,9819
133000,1.0,1040,5,1963,7500
127000,1.0,1040,5,1962,6897
169000,2.0,1494,6,1974,15410
190000,2.0,1923,7,1992,10186
362500,3.0,2349,8,1993,13143
285000,3.0,2225,8,1992,11134
260000,2.0,1488,7,2004,4835
190000,2.0,1680,7,2004,3515
155000,2.0,1200,7,2004,3215
151000,2.0,1200,7,2004,3182
149500,2.0,1200,7,2004,2544
152000,2.0,1236,6,2005,2544
222000,2.0,1478,7,2009,4403
177500,2.0,1573,6,2000,2117
177000,2.0,1512,6,2000,2980
155000,2.0,1416,7,1999,2572
147110,2.0,1080,7,2003,2403
267916,3.0,1418,8,2010,12853
254000,2.0,1848,8,2000,7379
155000,2.0,788,8,1980,4420
206000,2.0,1226,8,1978,3880
130500,2.0,1479,6,1976,13517
230000,2.0,1492,7,2002,8000
218500,2.0,1829,6,1967,10456
243500,2.0,2495,6,1993,10791
205000,2.0,1610,6,1977,10603
212500,2.0,1891,6,1978,18837
196500,2.0,1714,7,1988,10421
197500,2.0,1381,6,1972,9360
171000,2.0,1645,6,1971,9600
142250,2.0,1232,5,1966,9600
143000,2.0,1328,6,1963,9790
128950,0.0,1225,4,1959,9320
159000,2.0,1209,5,1966,9900
178900,2.0,1510,5,1967,9680
136300,2.0,1775,6,1964,10600
180500,2.0,1152,5,1964,14112
137500,2.0,1054,6,1963,8800
84900,0.0,1728,5,1962,13260
142125,1.0,1078,5,1950,9717
197600,2.0,2461,5,1952,9724
172500,2.0,1556,6,1949,17360
116500,0.0,858,5,1958,7207
76500,0.0,1306,3,1940,5350
128000,1.0,1063,5,1954,9920
153000,1.0,1520,6,1955,9600
132000,1.0,1268,5,1954,7800
178000,1.0,1128,6,1966,11380
154300,2.0,2274,5,1960,11600
180000,2.0,2207,7,1970,19900
190000,2.0,1888,6,1966,16492
135000,2.0,1604,5,1958,8267
214000,2.0,1480,7,2003,8197
136000,1.0,1143,5,1959,8050
165500,2.0,1700,5,1959,10552
145000,1.0,1314,5,1957,8400
148000,1.0,1194,6,1959,8760
142000,2.0,1188,5,1959,12160
167500,2.0,1264,5,1960,9300
108538,1.0,1206,5,1959,10725
159500,2.0,1580,6,1959,10032
108000,1.0,1337,4,1956,8382
135000,1.0,1064,5,1952,10950
122500,1.0,972,5,1955,10895
119000,1.0,988,5,1958,13587
109000,1.0,1057,5,1953,7922
105000,2.0,985,4,1920,7898
107500,1.0,827,5,1955,7200
144900,2.0,1086,5,1954,10200
129000,1.0,936,5,1956,5868
97500,1.0,1458,6,1948,17503
